iter	Passed	Remaining
731	1429	523
732	1430	521
733	1432	519
734	1433	516
735	1434	514
736	1436	512
737	1437	510
738	1438	508
739	1439	505
740	1441	503
741	1442	501
742	1443	499
743	1444	497
744	1446	495
745	1447	492
746	1448	490
747	1450	488
748	1451	486
749	1452	484
750	1454	482
751	1455	479
752	1456	477
753	1458	475
754	1459	473
755	1460	471
756	1461	469
757	1463	467
758	1464	465
759	1465	462
760	1467	460
761	1468	458
762	1469	456
763	1470	454
764	1472	452
765	1473	450
766	1475	448
767	1477	446
768	1479	444
769	1480	442
770	1482	440
771	1483	438
772	1485	436
773	1486	434
774	1487	431
775	1488	429
776	1490	427
777	1491	425
778	1492	423
779	1494	421
780	1495	419
781	1496	417
782	1497	415
783	1499	413
784	1500	410
785	1501	408
786	1503	406
787	1504	404
788	1505	402
789	1507	400
790	1508	398
791	1509	396
792	1510	394
793	1512	392
794	1513	390
795	1514	388
796	1515	386
797	1517	384
798	1518	381
799	1519	379
800	1521	377
801	1522	375
802	1523	373
803	1524	371
804	1526	369
805	1527	367
806	1528	365
807	1530	363
808	1531	361
809	1532	359
810	1533	357
811	1535	355
812	1536	353
813	1538	351
814	1539	349
815	1541	347
816	1542	345
817	1543	343
818	1544	341
819	1546	339
820	1547	337
821	1548	335
822	1550	333
823	1551	331
824	1552	329
825	1553	327
826	1555	325
827	1556	323
828	1557	321
829	1559	319
830	1560	317
831	1562	315
832	1563	313
833	1564	311
834	1565	309
835	1567	307
836	1568	305
837	1569	303
838	1571	301
839	1572	299
840	1573	297
841	1574	295
842	1576	293
843	1577	291
844	1578	289
845	1580	287
846	1581	285
847	1582	283
848	1583	281
849	1585	279
850	1586	277
851	1587	275
852	1589	273
853	1590	271
854	1591	269
855	1592	267
856	1594	266
857	1595	264
858	1596	262
859	1598	260
860	1599	258
861	1601	256
862	1602	254
863	1603	252
864	1604	250
865	1606	248
866	1607	246
867	1608	244
868	1610	242
869	1611	240
870	1612	238
871	1614	236
872	1615	234
873	1616	233
874	1617	231
875	1619	229
876	1620	227
877	1621	225
878	1622	223
879	1624	221
880	1625	219
881	1626	217
882	1627	215
883	1629	213
884	1630	211
885	1631	209
886	1633	208
887	1634	206
888	1635	204
889	1637	202
890	1638	200
891	1639	198
892	1641	196
893	1642	194
894	1643	192
895	1645	190
896	1646	189
897	1647	187
898	1649	185
899	1650	183
900	1651	181
901	1653	179
902	1654	177
903	1656	175
904	1657	173
905	1658	172
906	1660	170
907	1661	168
908	1662	166
909	1664	164
910	1665	162
911	1666	160
912	1667	158
913	1669	157
914	1670	155
915	1671	153
916	1673	151
917	1674	149
918	1675	147
919	1676	145
920	1678	143
921	1679	142
922	1680	140
923	1682	138
924	1683	136
925	1684	134
926	1686	132
927	1687	130
928	1688	129
929	1689	127
930	1691	125
931	1692	123
932	1693	121
933	1695	119
934	1696	117
935	1697	116
936	1699	114
937	1700	112
938	1701	110
939	1702	108
940	1703	106
941	1705	104
942	1706	103
943	1707	101
944	1709	99
945	1710	97
946	1711	95
947	1713	93
948	1714	92
949	1715	90
950	1717	88
951	1718	86
952	1719	84
953	1720	82
954	1722	81
955	1723	79
956	1725	77
957	1726	75
958	1727	73
959	1728	72
960	1730	70
961	1731	68
962	1732	66
963	1734	64
964	1735	62
965	1736	61
966	1737	59
967	1739	57
968	1740	55
969	1741	53
970	1742	52
971	1744	50
972	1745	48
973	1746	46
974	1748	44
975	1749	43
976	1750	41
977	1752	39
978	1753	37
979	1754	35
980	1756	34
981	1757	32
982	1758	30
983	1760	28
984	1761	26
985	1762	25
986	1763	23
987	1765	21
988	1766	19
989	1767	17
990	1768	16
991	1770	14
992	1771	12
993	1772	10
994	1773	8
995	1775	7
996	1776	5
997	1777	3
998	1779	1
999	1780	0
